timestampUtc,category,iconColor,priority,text
2025-10-15 03:30:18.265000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-15 05:05:14.146000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-18 04:26:45.294000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-18 05:29:43.899000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-18 16:47:22.963000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 06:23:27.399000+00:00,,ICON_NOT_FOUND,,TEXT_NOT_FOUND
2025-10-19 06:25:21.780000+00:00,OTHER,Yellow,,TEXT_NOT_FOUND
2025-10-19 06:27:20.791000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 06:49:22.520000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 08:09:52.655000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 09:11:52.408000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 09:42:57.967000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 14:57:07.781000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-19 16:54:37.569000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-20 05:27:20.585000+00:00,,ICON_NOT_FOUND,,TEXT_NOT_FOUND
2025-10-20 05:30:20.226000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-20 05:59:51.722000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-20 11:25:16.567000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-20 14:15:32.465000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-20 14:52:15.811000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-20 16:45:08.162000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-21 05:25:46.644000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-21 05:50:44.265000+00:00,OTHER,Yellow,125,Please add washer fluid.
2025-10-22 03:22:28.307000+00:00,,,,
2025-10-22 05:00:41.200000+00:00,,,,
2025-10-22 05:55:01.254000+00:00,,,,
2025-10-22 13:40:18.850000+00:00,,,,
2025-10-22 14:46:01.030000+00:00,,,,
2025-10-23 03:46:36.405000+00:00,,,,
2025-10-23 05:00:53.167000+00:00,,,,
2025-10-23 10:44:17.966000+00:00,,,,
2025-10-23 13:48:32.159000+00:00,,,,
2025-10-23 17:06:43.876000+00:00,,,,
2025-10-23 20:16:34.424000+00:00,,,,
2025-10-23 20:21:47.985000+00:00,,,,
2025-10-24 05:24:40.042000+00:00,,,,
2025-10-24 05:47:48.576000+00:00,,,,
2025-10-24 13:43:56.128000+00:00,,,,
2025-10-24 15:27:53.715000+00:00,,,,
2025-10-24 17:03:45.869000+00:00,,,,
2025-10-25 08:14:06.417000+00:00,,,,
2025-10-25 08:31:39.265000+00:00,,,,
2025-10-25 09:34:12.521000+00:00,,,,
2025-10-26 14:46:24.844000+00:00,,,,
2025-10-26 16:00:18.391000+00:00,,,,
2025-10-26 16:39:17.096000+00:00,,,,
